Name,Price,1h %,24h %,7d %,MarketCap,Volume 24h,Supply
Bitcoin,91297.96326752169,-0.10768721,2.27508337,19.33422569,1806140394782.2837,68723195461.23271,19782921.0
Ethereum,3123.817528973395,0.20583346,0.97970525,2.26099541,376174172354.89343,29550270619.758717,120421301.45755298
Tether USDt,1.0001687442351153,-0.00272074,0.01343558,-0.02455524,127385976618.77928,151684092829.67267,127364484596.24524
Solana,218.17791354867924,0.13174439,2.4402701,7.67435981,102978727395.76952,5446201449.073319,471994280.8179491
BNB,625.9447798152355,0.39946104,0.52181257,-0.13085975,90197921899.50952,2189975435.27516,144098848.3459098
XRP,1.0617283151538826,2.35422974,30.53263897,92.26911076,60445511833.018684,14593582812.522177,56931242174.0
Dogecoin,0.3758068473832469,0.66652148,1.73043257,79.7816175,55173573600.29909,10226919052.380066,146813646383.70523
USDC,0.9997831585704042,0.00254112,-0.01853301,-0.00426944,37069146550.04651,9744424606.177664,37077186420.15524
Cardano,0.7701589455580389,1.251357,25.38914049,75.45798747,26981576589.43052,5412184606.132054,35033776787.3102
TRON,0.1961983797157643,1.4841509,8.57063949,22.05074122,16947704159.606,1141988103.3715315,86380449136.01431
